key,value,date
comp01,5,01/06/15 00:00
comp01,5,01/06/15 01:00
comp01,5,01/06/15 02:00
comp01,5,01/06/15 03:00
comp01,10,01/06/15 04:00
comp01,10,01/06/15 05:00
comp01,10,01/06/15 06:00
comp01,10,01/06/15 07:00
comp01,10,01/06/15 08:00
comp01,33,01/06/15 09:00
comp01,40,01/06/15 10:00
comp01,32,01/06/15 11:00
comp01,26,01/06/15 12:00
comp01,35,01/06/15 13:00
comp01,40,01/06/15 14:00
comp01,32,01/06/15 15:00
comp01,26,01/06/15 16:00
comp01,10,01/06/15 17:00
comp01,10,01/06/15 18:00
comp01,10,01/06/15 19:00
comp01,10,01/06/15 20:00
comp01,10,01/06/15 21:00
comp01,10,01/06/15 22:00
comp01,10,01/06/15 23:00
comp01,10,01/06/15 24:00
comp02,5,01/06/15 00:00
comp02,5,01/06/15 01:00
comp02,5,01/06/15 02:00
comp02,5,01/06/15 03:00
comp02,10,01/06/15 04:00
comp02,10,01/06/15 05:00
comp02,10,01/06/15 06:00
comp02,10,01/06/15 07:00
comp02,10,01/06/15 08:00
comp02,45,01/06/15 09:00
comp02,32,01/06/15 10:00
comp02,35,01/06/15 11:00
comp02,30,01/06/15 12:00
comp02,28,01/06/15 13:00
comp02,27,01/06/15 14:00
comp02,26,01/06/15 15:00
comp02,15,01/06/15 16:00
comp02,10,01/06/15 17:00
comp02,10,01/06/15 18:00
comp02,10,01/06/15 19:00
comp02,10,01/06/15 20:00
comp02,10,01/06/15 21:00
comp02,10,01/06/15 22:00
comp02,10,01/06/15 23:00
comp02,10,01/06/15 24:00
comp03,5,01/06/15 00:00
comp03,5,01/06/15 01:00
comp03,5,01/06/15 02:00
comp03,5,01/06/15 03:00
comp03,10,01/06/15 04:00
comp03,10,01/06/15 05:00
comp03,10,01/06/15 06:00
comp03,10,01/06/15 07:00
comp03,10,01/06/15 08:00
comp03,36,01/06/15 09:00
comp03,33,01/06/15 10:00
comp03,43,01/06/15 11:00
comp03,40,01/06/15 12:00
comp03,34,01/06/15 13:00
comp03,28,01/06/15 14:00
comp03,26,01/06/15 15:00
comp03,27,01/06/15 16:00
comp03,10,01/06/15 17:00
comp03,10,01/06/15 18:00
comp03,10,01/06/15 19:00
comp03,10,01/06/15 20:00
comp03,10,01/06/15 21:00
comp03,10,01/06/15 22:00
comp03,10,01/06/15 23:00
comp03,10,01/06/15 24:00
comp04,5,01/06/15 00:00
comp04,5,01/06/15 01:00
comp04,5,01/06/15 02:00
comp04,5,01/06/15 03:00
comp04,10,01/06/15 04:00
comp04,10,01/06/15 05:00
comp04,10,01/06/15 06:00
comp04,10,01/06/15 07:00
comp04,10,01/06/15 08:00
comp04,33,01/06/15 09:00
comp04,40,01/06/15 10:00
comp04,32,01/06/15 11:00
comp04,26,01/06/15 12:00
comp04,35,01/06/15 13:00
comp04,40,01/06/15 14:00
comp04,32,01/06/15 15:00
comp04,26,01/06/15 16:00
comp04,10,01/06/15 17:00
comp04,10,01/06/15 18:00
comp04,10,01/06/15 19:00
comp04,10,01/06/15 20:00
comp04,10,01/06/15 21:00
comp04,10,01/06/15 22:00
comp04,10,01/06/15 23:00
comp04,10,01/06/15 24:00
comp05,5,01/06/15 00:00
comp05,5,01/06/15 01:00
comp05,5,01/06/15 02:00
comp05,5,01/06/15 03:00
comp05,10,01/06/15 04:00
comp05,10,01/06/15 05:00
comp05,10,01/06/15 06:00
comp05,10,01/06/15 07:00
comp05,10,01/06/15 08:00
comp05,33,01/06/15 09:00
comp05,40,01/06/15 10:00
comp05,32,01/06/15 11:00
comp05,26,01/06/15 12:00
comp05,35,01/06/15 13:00
comp05,40,01/06/15 14:00
comp05,32,01/06/15 15:00
comp05,26,01/06/15 16:00
comp05,22,01/06/15 17:00
comp05,10,01/06/15 18:00
comp05,10,01/06/15 19:00
comp05,10,01/06/15 20:00
comp05,10,01/06/15 21:00
comp05,10,01/06/15 22:00
comp05,10,01/06/15 23:00
comp05,10,01/06/15 24:00
comp06,5,01/06/15 00:00
comp06,5,01/06/15 01:00
comp06,5,01/06/15 02:00
comp06,5,01/06/15 03:00
comp06,10,01/06/15 04:00
comp06,10,01/06/15 05:00
comp06,10,01/06/15 06:00
comp06,10,01/06/15 07:00
comp06,10,01/06/15 08:00
comp06,33,01/06/15 09:00
comp06,40,01/06/15 10:00
comp06,32,01/06/15 11:00
comp06,26,01/06/15 12:00
comp06,35,01/06/15 13:00
comp06,40,01/06/15 14:00
comp06,32,01/06/15 15:00
comp06,26,01/06/15 16:00
comp06,10,01/06/15 17:00
comp06,10,01/06/15 18:00
comp06,10,01/06/15 19:00
comp06,10,01/06/15 20:00
comp06,10,01/06/15 21:00
comp06,10,01/06/15 22:00
comp06,10,01/06/15 23:00
comp06,10,01/06/15 24:00
